,Año,Trimestre,Provincia,Accesos por cada 100 hab
577,2018,1,Capital Federal,44.562961320417855
578,2018,1,Catamarca,8.342098537275874
579,2018,1,Chaco,8.240328535251999
580,2018,1,Chubut,16.466326556340928
581,2018,1,Córdoba,19.447381073339752
582,2018,1,Corrientes,8.60133260210877
583,2018,1,Entre Ríos,14.555673456325385
584,2018,1,Formosa,5.4480098282582645
585,2018,1,Jujuy,5.912829505826147
586,2018,1,La Pampa,23.64124866231016
587,2018,1,La Rioja,13.694770063119927
588,2018,1,Mendoza,10.345843091967911
589,2018,1,Misiones,8.432278416607307
590,2018,1,Neuquén,18.31283869735193
591,2018,1,Río Negro,15.323567091543692
592,2018,1,Salta,9.633845443846392
593,2018,1,San Juan,8.306800710570991
594,2018,1,San Luis,4.335615022675048
595,2018,1,Santa Cruz,9.98473486255572
596,2018,1,Santa Fe,19.584682368757406
597,2018,1,Santiago Del Estero,8.683504190530646
598,2018,1,Tierra Del Fuego,19.33152333431171
599,2018,1,Tucumán,10.200177350055142
600,2017,4,Buenos Aires,18.61464924835486
601,2017,4,Capital Federal,51.6167209151056
602,2017,4,Catamarca,7.280600419229377
603,2017,4,Chaco,8.234501979468078
604,2017,4,Chubut,15.77581593080522
605,2017,4,Córdoba,19.390857786793124
606,2017,4,Corrientes,8.562263620309615
607,2017,4,Entre Ríos,14.317635180183578
608,2017,4,Formosa,5.414060072151437
609,2017,4,Jujuy,5.81583543877829
610,2017,4,La Pampa,23.409929773918797
611,2017,4,La Rioja,13.727965660359493
612,2017,4,Mendoza,9.300280994440511
613,2017,4,Misiones,8.482789477895514
614,2017,4,Neuquén,18.2308851652642
615,2017,4,Río Negro,15.187813662722721
616,2017,4,Salta,9.638816535753657
617,2017,4,San Juan,7.718528602820455
618,2017,4,San Luis,3.0299272402737993
619,2017,4,Santa Cruz,8.603821648608145
620,2017,4,Santa Fe,19.405680474329014
621,2017,4,Santiago Del Estero,7.228687949666727
622,2017,4,Tierra Del Fuego,17.758493353028065
623,2017,4,Tucumán,9.883286960651205
624,2017,3,Buenos Aires,17.935870973592106
625,2017,3,Capital Federal,51.2444496511116
626,2017,3,Catamarca,8.265091234974188
627,2017,3,Chaco,8.012103738024656
628,2017,3,Chubut,14.16737183585357
629,2017,3,Córdoba,19.076953915608296
630,2017,3,Corrientes,8.470212670540503
631,2017,3,Entre Ríos,13.741494179292031
632,2017,3,Formosa,5.43429504811395
633,2017,3,Jujuy,5.791142800512126
634,2017,3,La Pampa,22.780807976856142
635,2017,3,La Rioja,13.700651079810719
636,2017,3,Mendoza,9.964323465862444
637,2017,3,Misiones,8.227833589371523
638,2017,3,Neuquén,18.10848135178631
639,2017,3,Río Negro,14.924361907723748
640,2017,3,Salta,9.649427484390076
641,2017,3,San Juan,8.245115565495915
642,2017,3,San Luis,4.429809174940647
643,2017,3,Santa Cruz,9.907366563740627
644,2017,3,Santa Fe,19.152164898849556
645,2017,3,Santiago Del Estero,8.716515836151316
646,2017,3,Tierra Del Fuego,19.492764396867877
647,2017,3,Tucumán,9.833448455500244
648,2017,2,Buenos Aires,18.104156481000473
649,2017,2,Capital Federal,52.236738675121046
650,2017,2,Catamarca,6.608185687419579
651,2017,2,Chaco,7.763587198662014
652,2017,2,Chubut,10.897114883440475
653,2017,2,Córdoba,18.05661531060883
654,2017,2,Corrientes,8.265165616133114
655,2017,2,Entre Ríos,13.571663585663645
656,2017,2,Formosa,5.0818187061685505
657,2017,2,Jujuy,5.729417105648426
658,2017,2,La Pampa,20.920811368324546
659,2017,2,La Rioja,4.313641371128342
660,2017,2,Mendoza,8.863231962926129
661,2017,2,Misiones,8.196262181174568
662,2017,2,Neuquén,18.43063459528346
663,2017,2,Río Negro,14.1565144707972
664,2017,2,Salta,7.929941866624195
665,2017,2,San Juan,6.869062671706707
666,2017,2,San Luis,2.7229996991951935
667,2017,2,Santa Cruz,7.812000426302888
668,2017,2,Santa Fe,16.436519275562326
669,2017,2,Santiago Del Estero,3.5041532386183105
670,2017,2,Tierra Del Fuego,20.30130511507835
671,2017,2,Tucumán,9.459823731438563
672,2017,1,Buenos Aires,18.804855031011677
673,2017,1,Capital Federal,45.687714654171046
674,2017,1,Catamarca,6.527341318167275
675,2017,1,Chaco,7.65022534015797
676,2017,1,Chubut,10.932503392025788
677,2017,1,Córdoba,17.652242570602198
