,Año,Trimestre,Provincia,Accesos por cada 100 hogares
605,2017,4,Córdoba,63.33262565207773
606,2017,4,Corrientes,32.51511831118755
607,2017,4,Entre Ríos,47.885245293746834
608,2017,4,Formosa,21.270976689249718
609,2017,4,Jujuy,22.742083716267025
610,2017,4,La Pampa,71.04976106378558
611,2017,4,La Rioja,51.56847440546175
612,2017,4,Mendoza,33.32562553415048
613,2017,4,Misiones,31.14218485379854
614,2017,4,Neuquén,61.24232317785096
615,2017,4,Río Negro,49.37562976824529
616,2017,4,Salta,39.79624247145896
617,2017,4,San Juan,30.29992919128174
618,2017,4,San Luis,10.586731069754228
619,2017,4,Santa Cruz,28.912492882806827
620,2017,4,Santa Fe,61.7127712196729
621,2017,4,Santiago Del Estero,29.126386109501063
622,2017,4,Tierra Del Fuego,59.89413596263622
623,2017,4,Tucumán,39.8968735176797
624,2017,3,Buenos Aires,55.62938339533962
625,2017,3,Capital Federal,121.85832590969336
626,2017,3,Catamarca,32.49092567790524
627,2017,3,Chaco,29.975925647657625
628,2017,3,Chubut,46.21537746651841
629,2017,3,Córdoba,62.30700225296333
630,2017,3,Corrientes,32.16543574593796
631,2017,3,Entre Ríos,45.95812167017718
632,2017,3,Formosa,21.350384380070757
633,2017,3,Jujuy,22.64536299508256
634,2017,3,La Pampa,69.13993701142644
635,2017,3,La Rioja,51.46525230494696
636,2017,3,Mendoza,35.70493177720565
637,2017,3,Misiones,30.205990933031902
638,2017,3,Neuquén,60.8304131050389
639,2017,3,Río Negro,48.518658939500625
640,2017,3,Salta,39.839700806907416
641,2017,3,San Juan,32.36688935995978
642,2017,3,San Luis,15.477861790298098
643,2017,3,Santa Cruz,33.29182971658959
644,2017,3,Santa Fe,60.90635563451515
645,2017,3,Santiago Del Estero,35.12104488438485
646,2017,3,Tierra Del Fuego,65.74180473434595
647,2017,3,Tucumán,39.69537916123259
648,2017,2,Buenos Aires,56.272144161691315
649,2017,2,Capital Federal,124.06139375642523
650,2017,2,Catamarca,25.97712106768351
651,2017,2,Chaco,29.045524775453423
652,2017,2,Chubut,35.54601117914412
653,2017,2,Córdoba,58.973528908003566
654,2017,2,Corrientes,31.38612136835505
655,2017,2,Entre Ríos,45.38933102824724
656,2017,2,Formosa,19.965076445261992
657,2017,2,Jujuy,22.403415894624064
658,2017,2,La Pampa,63.49352648099681
659,2017,2,La Rioja,16.203445806143563
660,2017,2,Mendoza,31.75860536139077
661,2017,2,Misiones,30.089248025085933
662,2017,2,Neuquén,61.91013427666159
663,2017,2,Río Negro,46.02080512293318
664,2017,2,Salta,32.739420263626215
